id|latitud|longitud|autor|barrio|verso|direccion
1000|40.4252387|-3.6912172|﻿Mario Vaillo de Mingo|﻿CENTRO|Quizá el secreto de la vida tan solo consista En tener un lugar al que regresar|﻿Calle de Génova-Plaza Colón
1001|40.4091501|-3.6379967|﻿Dionisio Cañas|﻿MORATALAZ|Cuando andamos cabeza abajo entonces es cuando empezamos a vivir de nuevo.|﻿Av. del Dr. García Tapia- Calle Jose Bergamín 4
1002|40.3950689|-3.7731492|﻿Antonio de Egipto|﻿CAMPAMENTO|El bosque es el primigenio nudo iniciático, el hogar de los hombres perdidos.|﻿Carr. de Carabanchel frente a C/ Cayetano Rodríguez
1003|40.3602963|-3.6957782|﻿Lola Nieto|﻿LOS ÁNGELES|Mi garganta es una gruta deslizante de acentos. La forma musical para sanar.|﻿Av. de la Verbena de la Paloma - Entre C/ Chulaponas y C/ Pan y Toros
1004|40.3599999|-3.6826917|﻿Esther Garboni|﻿LOS ROSALES|Hoy somos más viejos que nunca, piensas; pero nunca serás ya tan joven como hoy.|﻿Carr. de Villaverde a Vallecas (Frente a parque El Espinillo)
1005|40.4254939|-3.6743971|﻿Alberto Guirao|﻿SALAMANCA|Dudarás: ¿Qué razón en tocar sus lunares? Pensará: Si lloro, diré \|﻿Calle Alcalá-Calle Fernán Gonzalez
1006|40.4613292|-3.6591152|﻿Manuel Rico|﻿COLINA|Quien olvida abandona, mata, entierra la memoria. Por ello, nunca olvido|﻿C/de Mesena (Pares) - C/de López de Hoyos
1007|40.450868|-3.6949481|﻿Inma Chacón|﻿CUATRO CAMINOS|No puede reparase con las manos una tela de araña. No hay dedos tan exquisitos|﻿C/de Orense (Pares) - C/ Reina Mercedes
1008|40.450265|-3.7033702|﻿Diego Doncel|﻿TETUÁN|La política tiene colgado el cartel de rebajas|﻿C/de Bravo Murillo 140 - entre C/de Jaén y C/de Palencia
1009|40.4236726|-3.6395471|﻿Alejandro Tarantino|﻿LA ALMUDENA|Queda de ti un vestido de aguas a la deriva, queda de ti tu nombre que no digo|﻿Av. de Daroca-Calle de Arriaga (metro La Almudena)
100|40.4931638|-3.6476434|﻿Fede y Clara|﻿HORTALEZA|Yo seré mimoso, pero tú serás mi musa|﻿Av. de Niceto Alcalá Zamora (Parque) - referencia C/ Fernando de Rojas
1010|40.4326349|-3.6834669|﻿Yamidich|﻿SALAMANCA|Soy origen y descendencia, soy luz, sombra y herencia, soy mujer soy resiliencia|﻿Calle de Juan Bravo-Calle de Velázquez
1011|40.4231702|-3.6728252|﻿AmeDuv Poesía|﻿SALAMANCA|En memoria de las auténticas cebras, las que en el Mioceno galopaban por Madrid|﻿Calle Lombida-Calle de Jorge Juan
1012|40.4215142|-3.6802147|﻿Esther Ramón|﻿IBIZA|Nacer fue algo oblicuo. No se incendia el bosque sino el interior de cada árbol.|﻿Calle O´donnell 4
1013|40.419266|-3.6655015|﻿Morodo|﻿O`DONELL|Peladitos ven TV y quieren ser así, están aprendiendo a matar antes que a vivir|﻿Calle del Alcalde Sainz de Baranda - Calle Antonio Casero
1014|40.4821114|-3.7176758|﻿Marifé Santiago|﻿CARDENAL HERRERA ORIA|Donde la distancia entre la tierra y nuestras manos era la medida de todas las cosas|﻿C/ Cardenal Herrera Oria 239
1015|40.4770487|-3.7314315|﻿Axé|﻿FUENCARRAL-EL PARDO|La voz que tripula este barco navega sin olas.|﻿Av. del Cardenal Herrera Oria (Impares) - C/de Inocencio Fernández
1017|40.4761438|-3.7191483|﻿evachin|﻿EL PILAR|Por ti, que eres cuerpo sostenido en un alma bemol sale Sol, brilla La, sale Sol|﻿Av. Monforte de Lemos- Calle de Cándido Mateos
1018|40.4685801|-3.6736768|﻿Sandra Ortega Larrumbide|﻿CHAMARTÍN|Amor es llegar en el momento oportuno y ser del tamaño del hueco vacío del otro.|﻿C/ Pio XII 77
1019|40.4649265|-3.685567|﻿Paula Izquierdo|﻿CHAMARTÍN|Sola, inmersa en el ruido de la ciudad, oigo el silencio de la vida arrostrándose|﻿Calle Gral. López Pozas - Frente a Calle Francisco Suárez
101|40.4892851|-3.7006653|﻿José María Castrillón Suárez|﻿MIRASIERRA|Somos préstamos de calor|﻿C/ Cardenal Herrera Oria 81
1020|40.4593869|-3.6686906|﻿gmm81|﻿CHAMARTÍN|Te espero en la orilla del sueño de siempre|﻿Av. de Alfonso XII (Impares) - Plaza José María Soler
1021|40.4726518|-3.6483407|﻿Nerea Delgado|﻿PINAR DEL REY|Nuestros castillos de arena están a salvo: se ha secado el mar de dudas|﻿Calle de Valdetorres de Jarama- Plaza Santos de la Humosa
1022|40.4499109|-3.6081076|﻿Esher Ampuero Gordo|﻿HORTALEZA|Y tú, ¿a cuál de todas tus cicatrices le escribes?|﻿Av. de Logroño- A2
1023|40.459091|-3.7840739|﻿Joaquim Moral Fernàndez-Juncosa|﻿MONCLOA-ARAVACA|Que el teu camí sigui llarg, i ben aviat entenguis que la ciutat és casa.|﻿Av. de la Osa Mayor 85
1024|40.4525601|-3.6995172|﻿Mariano Peyrou|﻿CUATRO CAMINOS|A veces parecía que podríamos satisfacer los deseos contradictorios.|﻿C/de Avila - C/de Dulcinea
1025|40.4452795|-3.7030765|﻿Alba Gaia|﻿CHAMBERÍ|Dale alas a un pensamiento y saldrás volando.|﻿Calle Santa Engracia 152
1026|40.4557032|-3.686833|﻿Juan Merallo Grande|﻿CHAMARTÍN|En este precioso lugar secuestraste mi tristeza, chica de la bicicleta|﻿Calle de Padre Damián nº 20 (escuela)
1027|40.4497557|-3.6879167|﻿LEON BENAVENTE|﻿EL VISO|Contaré hasta 3 y si en ese momento no hemos parado, nada nos va a detener. 1, 2|﻿Paso de la Habana 42 - Calle de Balbina Valverde
1028|40.4437086|-3.6918421|﻿TFR|﻿CHAMBERÍ|Segundos eternos y horas efímeras a tu lado|﻿Calle de la Castellana -Sala de Exposiciones La Arquería
1029|40.442194|-3.6857923|﻿María Eloy-García|﻿EL VISO|Te cedo el paso. Te cedo el peso. Te cedo el piso Te cedo el poso. Y te cedo el pulso|﻿Calle Serrano 144-Calle Pablo Aranda
102|40.4302114|-3.7172573|﻿Marina Oroza|﻿ARGÜELLES|Al corazón de piedra le brota un tallo|﻿Calle del Marqués de Urquijo 11 -Calle Tutor
1030|40.4482391|-3.6679771|﻿Jesús Ruiz Mantilla|﻿ALFONSO XIII|El ser humano debe morir: no ha aprendido a enlazar el final con el principio.|﻿Calle Lopez de Hoyos- Calle Clara del Rey
1031|40.4405191|-3.6279385|﻿Viera3|﻿SAN BLAS|Todo lo que no sea luchado, ya está perdido|﻿calle Alcalá - Calle Rufino González
1032|40.432791|-3.6345139|﻿Inma Luna|﻿SAN BLAS|Me paso la vida derribando puertas completamente abiertas|﻿Av de la Institución libre de enseñanza- Calle Ascao
1033|40.4358687|-3.6367536|﻿Poetaimperfecta|﻿CIUDAD LINEAL|El mar de ilusiones aguarda, los granos de arena se acaban, lánzate ya|﻿Av. de la Institución libre de enseñanza- Calle del Dr.Cirajas
1034|40.4245148|-3.6157894|﻿LuaraMB|﻿SAN BLAS|Desenchufémonos para volver a conectar :)!|﻿Calle de Arcos de Jalón- Calle la Albericia
1035|40.4206352|-3.7153369|﻿Campe|﻿MONCLOA-ARAVACA|Cada persona hace diferentes las mismas calles|﻿Cuesta San Vicente 22 - Calle Arriaza
1036|40.4276996|-3.6963738|﻿Chus Tellez|﻿CENTRO|Maletas perdidas en Atocha Besos perdidos en la Latina y pasos a la deriva...|﻿Calle Sagasta 32 -Plaza Santa Bárbara 4
1037|40.4343539|-3.7166512|﻿Oscar Espirita|﻿MONCLOA|¿Cómo pueden romperse las cosas que nos unen?|﻿Calle Hilarión Eslava - Calle de Fernando el Católico
1038|40.4314915|-3.7033313|﻿alvarudo|﻿CHAMBERÍ|Ojala no acabase nunca la primera vez de algo.|﻿Calle de Fuencarral 36-Calle de Jerónimo de la Quintana
1039|40.4379671|-3.6915431|﻿Valkirya|﻿CHAMBERÍ|No vivas deprisa todo lo que puedas disfrutar lentamente|﻿Calle de José Abascal-Paseo de la Castellana
103|40.4306749|-3.6888662|﻿Darmo|﻿SALAMANCA|Por dónde empiezo si no recuerdo el comienzo|﻿Paseo de la Castellana 24 -Calle del Marqués de Riscal
1040|40.4292211|-3.6897942|﻿FlorKa|﻿CHAMBERÍ|Pensarte es como tomar prestada una melodía|﻿Paseo de la Castellana-Calle de Zurbarán
1041|40.428139|-3.6897513|﻿Lilith y tú|﻿CHAMBERÍ|Zure taupadak gure ingurunea zabaltzen du|﻿Paseo de la Castellana-Calle de Ayala
1042|40.4351806|-3.6625564|﻿Atomilab|﻿SALAMANCA|Todo el tiempo buscando en las redes y acabé en las tuyas|﻿Calle de Martinez izquierdo-Calle de Alberto Martín Artajo
1043|40.4293275|-3.6658273|﻿Casiopea|﻿SALAMANCA|Caminar nos hace fuertes Pensar nos hace libres, reír nos hace felices|﻿Calle Alcalá entre calle Rufino Blanco-calle del Maestro Alonso
1044|40.4187953|-3.692632|﻿Cristian Esteban Martín|﻿CENTRO|Si no existiesen los poetas, los invendibles ¿Quién hablaría de lo huérfano?|﻿Paseo del Prado 1 (Correos)
1045|40.4105593|-3.71829|﻿David Trashumante|﻿IMPERIAL|Seré blanca escucha, la sombra tras los pasos vivos de mi muerte|﻿Paseo Imperial-Paseo de los Melancólicos
1046|40.4162408|-3.6692204|﻿Mireia Calafell Obiol|﻿ESTRELLA|No. No ho vulgueu tot, que el tot està venint. Té tanta pressa com vosaltres.|﻿Calle Doctor Esquerdo 97 - Calle Alcalde Sainz de Baranda
1047|40.4040513|-3.6369104|﻿Sara Rubio Garrido|﻿MORATALAZ|Si nos estamos cruzando no puede ser casualidad|﻿Calle Luis de Hoyo Sáinz (colegio)
1048|40.385006|-3.7182034|﻿Antonio Remache|﻿PLAZA ELÍPTICA|Me falta un beso y me sobra una despedida|﻿Vía Lusitana - Plaza Elíptica
1049|40.3999253|-3.6909676|﻿Nach|﻿DELICIAS|No hay certeza más bella que el hecho de saber que aún queda tiempo.|﻿Calle del Gral. Lacy- Calle de Ramírez de Prado
104|40.4137901|-3.7168256|﻿Macarena Castaño Carrasco|﻿CENTRO|Silencia la ciudad. En la pausa te escuchas.|﻿Ronda de Segovia-Calle de Segovia
1050|40.4002225|-3.649883|﻿Elena Grausen|﻿PUENTE DE VALLECAS|Quererte como sólo tú me enseñaste a querer; por encima de mis posibilidades.|﻿C/ El Bosco (frente a puente peatonal) - C/de Ramón Pérez de Ayala
1051|40.3865643|-3.6973715|﻿Víctor Manuel|﻿USERA|Digo España y qué bien suena esa palabra. No la arrojo contra nadie, contra nada|﻿C/ Antonio López 169
1052|40.3439151|-3.6930665|﻿Gema Fernández Martínez|﻿CARABANCHEL|Como un mantra doméstico repito: Una hemorragia, el mundo. Tú y yo un coágulo.|﻿Av. de Andalucía (mercadona)- Calle de S. Dalmacio
1053|40.4665558|-3.6862885|﻿Loreto Sesma|﻿PZA. CASTILLA|Quédate el beso, quema el verso, quítate el peso y vuela|﻿C/ Mateo Inurria 13 (del lado de los pares)
1054|40.4551521|-3.702532|﻿javierlópex|﻿TETUÁN|Los pasos que nos dictaron nunca fueron nuestros|﻿C/ Bravo Murillo 194
1055|40.4325757|-3.725021|﻿Lena Carrilero|﻿MONCLOA-ARAVACA|De qué sirve tener tantos pájaros en la cabeza si ninguno sabe volar|﻿Paseo del Moret - Avenida del Pintor Rosales
1056|40.4301204|-3.6642931|﻿Alberto Muñoz García|﻿VENTAS|El silencio como un unicornio nocturno muriéndose en el óvalo de la nada.|﻿Calle Alcalá-Calle Bocángel
1057|40.4092972|-3.6884773|﻿Martín López-Vega|﻿CENTRO|Deja sin responder todas las preguntas y atiende sólo a lo que late|﻿Calle de Alfonso XII-Puerta del Ángel Caído
1058|40.4181102|-3.6690849|﻿Teresa Garrido González|﻿RETIRO|Si miras al cielo eres un pastor de nubes|﻿Calle Doctor Esquerdo 83 (Hospital Beata María Ana)
1059|40.4105174|-3.6579979|﻿elpirulí|﻿MORATALAZ|Cada 12 horas el río es la ría, cada 12 horas el mar es la mar. Cada 12 horas.|﻿C/ del Camino de los Vinateros (Pares)  - C/ del Corregidor Diego de Valderrábano
105|40.413927|-3.7118474|﻿José Miguel Cuervo Baños|﻿CENTRO|Más Amor y Menos Gigas|﻿Calle de Segovia-Plaza de la Cruz Verde
1060|40.3974016|-3.6968591|﻿Bella|﻿ARGANZUELA|The only way to fly is not to fear the heights|﻿Calle Embajadores 133
1061|40.4062072|-3.6797736|﻿Fangoria|﻿PACÍFICO|Todo en este plan espectacular, una vieja superstar se ha cansado de esperar|﻿Avenida Menéndez Pelayo 28 - Calle Valderribas
1062|40.3732364|-3.7416628|﻿Almudena Vega|﻿CARABANCHEL|Aprendamos de óxido esa hazaña del metal por escapar de la forma.|﻿Av. de los Poblados
1063|40.4792481|-3.6917079|﻿ANA MARIA TORRES BRAVO|﻿FUENCARRAL-EL PARDO|Llegaré tarde. Salí con el tiempo justo en el año equivocado.|﻿Av. de Monforte de Lemos- Calle de Pedro Rico
