;Unnamed: 0;id;latitud;longitud;autor;barrio;verso;direccion;openai_sentiment;quarter;district;city;robertuito_sentiment;robertuito_sentiment_probas
0;0;1000;40.4252387;-3.6912172;﻿Mario Vaillo de Mingo;﻿CENTRO;Quizá el secreto de la vida tan solo consista En tener un lugar al que regresar;﻿Calle de Génova-Plaza Colón;positive;Justicia;Centro;Madrid;positive;"{""NEG"": 0.028908291831612587, ""NEU"": 0.48503875732421875, ""POS"": 0.4860529601573944}"
1;1;1001;40.4091501;-3.6379967;﻿Dionisio Cañas;﻿MORATALAZ;Cuando andamos cabeza abajo entonces es cuando empezamos a vivir de nuevo.;﻿Av. del Dr. García Tapia- Calle Jose Bergamín 4;positive;Marroquina;Moratalaz;Madrid;neutral;"{""NEG"": 0.08756226301193237, ""NEU"": 0.5279815196990967, ""POS"": 0.38445618748664856}"
2;2;1002;40.3950689;-3.7731492;﻿Antonio de Egipto;﻿CAMPAMENTO;El bosque es el primigenio nudo iniciático, el hogar de los hombres perdidos.;﻿Carr. de Carabanchel frente a C/ Cayetano Rodríguez;positive;Campamento;Latina;Madrid;negative;"{""NEG"": 0.5676746964454651, ""NEU"": 0.39270296692848206, ""POS"": 0.039622366428375244}"
3;3;1003;40.3602963;-3.6957782;﻿Lola Nieto;﻿LOS ÁNGELES;Mi garganta es una gruta deslizante de acentos. La forma musical para sanar.;﻿Av. de la Verbena de la Paloma - Entre C/ Chulaponas y C/ Pan y Toros;positive;Los Ángeles;Villaverde;Madrid;positive;"{""NEG"": 0.019707918167114258, ""NEU"": 0.3649395704269409, ""POS"": 0.6153524518013}"
4;4;1004;40.3599999;-3.6826917;﻿Esther Garboni;﻿LOS ROSALES;"Hoy somos más viejos que nunca, piensas; pero nunca serás ya tan joven como hoy.";﻿Carr. de Villaverde a Vallecas (Frente a parque El Espinillo);positive;Los Rosales;Villaverde;Madrid;neutral;"{""NEG"": 0.3798529803752899, ""NEU"": 0.5475690364837646, ""POS"": 0.07257792353630066}"
5;5;1005;40.4254939;-3.6743971;﻿Alberto Guirao;﻿SALAMANCA;Dudarás: ¿Qué razón en tocar sus lunares? Pensará: Si lloro, diré \;﻿Calle Alcalá-Calle Fernán Gonzalez;positive;Goya;Salamanca;Madrid;neutral;"{""NEG"": 0.26596295833587646, ""NEU"": 0.6884565949440002, ""POS"": 0.04558044672012329}"
6;6;1006;40.4613292;-3.6591152;﻿Manuel Rico;﻿COLINA;Quien olvida abandona, mata, entierra la memoria. Por ello, nunca olvido;﻿C/de Mesena (Pares) - C/de López de Hoyos;positive;Colina;Ciudad Lineal;Madrid;negative;"{""NEG"": 0.5539397597312927, ""NEU"": 0.37352535128593445, ""POS"": 0.07253479957580566}"
7;7;1007;40.450868;-3.6949481;﻿Inma Chacón;﻿CUATRO CAMINOS;No puede reparase con las manos una tela de araña. No hay dedos tan exquisitos;﻿C/de Orense (Pares) - C/ Reina Mercedes;positive;Cuatro Caminos;Tetuán;Madrid;negative;"{""NEG"": 0.83283531665802, ""NEU"": 0.13381025195121765, ""POS"": 0.03335438668727875}"
8;8;1008;40.450265;-3.7033702;﻿Diego Doncel;﻿TETUÁN;La política tiene colgado el cartel de rebajas;﻿C/de Bravo Murillo 140 - entre C/de Jaén y C/de Palencia;negative;Cuatro Caminos;Tetuán;Madrid;negative;"{""NEG"": 0.7827954888343811, ""NEU"": 0.20046870410442352, ""POS"": 0.01673584245145321}"
9;9;1009;40.4236726;-3.6395471;﻿Alejandro Tarantino;﻿LA ALMUDENA;Queda de ti un vestido de aguas a la deriva, queda de ti tu nombre que no digo;﻿Av. de Daroca-Calle de Arriaga (metro La Almudena);positive;Pueblo Nuevo;Ciudad Lineal;Madrid;negative;"{""NEG"": 0.6017318367958069, ""NEU"": 0.36225128173828125, ""POS"": 0.036016833037137985}"
10;10;100;40.4931638;-3.6476434;﻿Fede y Clara;﻿HORTALEZA;Yo seré mimoso, pero tú serás mi musa;﻿Av. de Niceto Alcalá Zamora (Parque) - referencia C/ Fernando de Rojas;positive;Valdefuentes;Hortaleza;Madrid;neutral;"{""NEG"": 0.10871350020170212, ""NEU"": 0.6932448744773865, ""POS"": 0.1980416476726532}"
11;11;1010;40.4326349;-3.6834669;﻿Yamidich;﻿SALAMANCA;Soy origen y descendencia, soy luz, sombra y herencia, soy mujer soy resiliencia;﻿Calle de Juan Bravo-Calle de Velázquez;positive;Castellana;Salamanca;Madrid;positive;"{""NEG"": 0.028574340045452118, ""NEU"": 0.3877626657485962, ""POS"": 0.5836630463600159}"
12;12;1011;40.4231702;-3.6728252;﻿AmeDuv Poesía;﻿SALAMANCA;En memoria de las auténticas cebras, las que en el Mioceno galopaban por Madrid;﻿Calle Lombida-Calle de Jorge Juan;positive;Goya;Salamanca;Madrid;neutral;"{""NEG"": 0.4618026912212372, ""NEU"": 0.4449680745601654, ""POS"": 0.0932292714715004}"
13;13;1012;40.4215142;-3.6802147;﻿Esther Ramón;﻿IBIZA;Nacer fue algo oblicuo. No se incendia el bosque sino el interior de cada árbol.;﻿Calle O´donnell 4;positive;Ibiza;Retiro;Madrid;neutral;"{""NEG"": 0.4217263162136078, ""NEU"": 0.4834379255771637, ""POS"": 0.09483576565980911}"
14;14;1013;40.419266;-3.6655015;﻿Morodo;﻿O`DONELL;Peladitos ven TV y quieren ser así, están aprendiendo a matar antes que a vivir;﻿Calle del Alcalde Sainz de Baranda - Calle Antonio Casero;negative;Estrella;Retiro;Madrid;negative;"{""NEG"": 0.8632475137710571, ""NEU"": 0.12270446121692657, ""POS"": 0.014047921635210514}"
