;Unnamed: 0;id;latitud;longitud;autor;barrio;verso;direccion;openai_sentiment;quarter;district;city;twitter-xml_sentiment;twitter-xml_anger;twitter-xml_disgust;twitter-xml_fear;twitter-xml_joy;twitter-xml_sadness;twitter-xml_surprise;twitter-xml_others;twitter-xml_as_positive;twitter-xml_as_neutral;twitter-xml_as_negative
0;0;1000;40.4252387;-3.6912172;﻿Mario Vaillo de Mingo;﻿CENTRO;Quizá el secreto de la vida tan solo consista En tener un lugar al que regresar;﻿Calle de Génova-Plaza Colón;positive;Justicia;Centro;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.7095205187797546;0.0;0.7095205187797546;0.0
1;1;1001;40.4091501;-3.6379967;﻿Dionisio Cañas;﻿MORATALAZ;Cuando andamos cabeza abajo entonces es cuando empezamos a vivir de nuevo.;﻿Av. del Dr. García Tapia- Calle Jose Bergamín 4;positive;Marroquina;Moratalaz;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.46073880791664124;0.0;0.46073880791664124;0.0
2;2;1002;40.3950689;-3.7731492;﻿Antonio de Egipto;﻿CAMPAMENTO;El bosque es el primigenio nudo iniciático, el hogar de los hombres perdidos.;﻿Carr. de Carabanchel frente a C/ Cayetano Rodríguez;positive;Campamento;Latina;Madrid;negative;0.0;0.0;0.0;0.0;0.6165884733200073;0.0;0.0;0.0;0.0;0.6165884733200073
3;3;1003;40.3602963;-3.6957782;﻿Lola Nieto;﻿LOS ÁNGELES;Mi garganta es una gruta deslizante de acentos. La forma musical para sanar.;﻿Av. de la Verbena de la Paloma - Entre C/ Chulaponas y C/ Pan y Toros;positive;Los Ángeles;Villaverde;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.6377862095832825;0.0;0.6377862095832825;0.0
4;4;1004;40.3599999;-3.6826917;﻿Esther Garboni;﻿LOS ROSALES;"Hoy somos más viejos que nunca, piensas; pero nunca serás ya tan joven como hoy.";﻿Carr. de Villaverde a Vallecas (Frente a parque El Espinillo);positive;Los Rosales;Villaverde;Madrid;negative;0.0;0.0;0.0;0.0;0.47522538900375366;0.0;0.0;0.0;0.0;0.47522538900375366
5;5;1005;40.4254939;-3.6743971;﻿Alberto Guirao;﻿SALAMANCA;Dudarás: ¿Qué razón en tocar sus lunares? Pensará: Si lloro, diré \;﻿Calle Alcalá-Calle Fernán Gonzalez;positive;Goya;Salamanca;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.49500465393066406;0.0;0.49500465393066406;0.0
6;6;1006;40.4613292;-3.6591152;﻿Manuel Rico;﻿COLINA;Quien olvida abandona, mata, entierra la memoria. Por ello, nunca olvido;﻿C/de Mesena (Pares) - C/de López de Hoyos;positive;Colina;Ciudad Lineal;Madrid;negative;0.0;0.0;0.0;0.0;0.7254387140274048;0.0;0.0;0.0;0.0;0.7254387140274048
7;7;1007;40.450868;-3.6949481;﻿Inma Chacón;﻿CUATRO CAMINOS;No puede reparase con las manos una tela de araña. No hay dedos tan exquisitos;﻿C/de Orense (Pares) - C/ Reina Mercedes;positive;Cuatro Caminos;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.41139817237854004;0.0;0.41139817237854004;0.0
8;8;1008;40.450265;-3.7033702;﻿Diego Doncel;﻿TETUÁN;La política tiene colgado el cartel de rebajas;﻿C/de Bravo Murillo 140 - entre C/de Jaén y C/de Palencia;negative;Cuatro Caminos;Tetuán;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.8117550611495972;0.0;0.8117550611495972;0.0
9;9;1009;40.4236726;-3.6395471;﻿Alejandro Tarantino;﻿LA ALMUDENA;Queda de ti un vestido de aguas a la deriva, queda de ti tu nombre que no digo;﻿Av. de Daroca-Calle de Arriaga (metro La Almudena);positive;Pueblo Nuevo;Ciudad Lineal;Madrid;neutral;0.0;0.0;0.0;0.0;0.0;0.0;0.42173102498054504;0.0;0.42173102498054504;0.0
